roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA1,sDA2,sDA3,sDA4,sDA5,sDA6,sDA7,sDA8,sDA9,UDI1,UDI2,UDI3,UDI4,UDI5,UDI6,UDI7,UDI8,UDI9,ASE1,ASE2,ASE3,ASE4,ASE5,ASE6,ASE7,ASE8,ASE9
283,3,33,26,-22,57,38,12,70,73,82,95,105,1.79,2.48,2.53,2.43,0.2,0.6,0.5,0.3,9,9,8,9,2,2,5,1,40.62,31.65,90.91,0,0,48.13,19.33,7.28,77.54,79.117647,66.753501,89.379679,5.882353,0,88.270053,63.277311,36.10084,92.275401,5.6,4.2,4.55,0,0,0,3.36,1.12,1.34
284,8,35,29,-42,57,42,9,5,7,82,99,80,0.6,2.38,2.41,2.42,0.2,0.8,0.6,0.7,9,9,9,6,5,2,1,1,74.37,8.24,100,1.37,0,100,100,100,100,86.7254,39.970252,55.183066,19.276888,0,62.805492,79.798627,86.755149,33.022883,41.42,0.69,20.14,0.46,0,10.3,32.72,17.39,33.64
285,9,18,18,44,39,41,24,4,3,22,71,83,0.59,2.2,0.03,0.2,0.7,0.8,0.6,0.7,8,2,2,4,4,2,2,1,100,100,100,100,0,100,100,100,100,24.361111,86.305556,23.848485,52.833333,0,43.333333,7.611111,31.652778,7.236111,99.31,2.08,33.33,88.19,0,30.56,100,100,100
286,9,18,16,45,39,40,24,5,3,29,69,69,0.47,2.2,0.03,0.2,0.8,0.8,0.6,0.7,8,2,2,4,4,2,2,1,100,100,100,100,0,100,100,100,100,17.3,83.218182,20.325,39.95,0,38.775,6.733333,35.083333,7.083333,100,17.27,37.5,98.33,0,36.67,100,100,100
287,3,35,26,-42,57,38,9,14,70,82,95,101,0.61,2.39,2.53,2.43,0.2,0.8,0.5,0.3,9,9,9,8,4,2,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
288,8,35,29,-42,57,42,9,5,7,82,99,80,0.5,2.38,2.41,2.42,0.2,0.8,0.6,0.7,9,9,9,6,4,2,1,1,74.37,8.01,100,1.37,0,100,100,100,100,86.732265,39.89016,54.524027,19.478261,0,62.19222,79.76659,86.688787,32.805492,41.42,0.69,20.59,0.46,0,11.44,32.72,17.39,34.1
289,9,18,18,44,39,41,24,4,3,22,71,83,0.59,2.2,0.03,0.2,0.7,0.8,0.6,0.7,8,2,2,4,4,2,2,1,100,100,100,100,0,100,100,100,100,24.361111,86.305556,23.848485,52.833333,0,43.333333,7.611111,31.652778,7.236111,99.31,2.08,33.33,88.19,0,30.56,100,100,100
290,3,33,16,44,55,41,12,4,3,29,91,83,0.59,2.2,0.03,0.24,0.8,0.6,0.6,0.6,9,2,7,4,5,1,5,1,100,21.82,100,66.82,0,100,100,35,100,75.081818,47.336364,63.227273,86.954545,0,76.954545,68.504545,55.7,60.568182,29.55,0.91,14.55,19.09,0,13.18,53.64,7.73,23.64
291,9,18,18,44,39,41,24,4,3,22,71,83,0.59,2.2,0.03,0.2,0.7,0.8,0.6,0.7,8,2,2,4,4,2,2,1,100,100,100,100,0,100,100,100,100,24.361111,86.305556,23.848485,52.833333,0,43.333333,7.611111,31.652778,7.236111,99.31,2.08,33.33,88.19,0,30.56,100,100,100
292,9,18,18,44,39,41,24,4,3,22,71,83,0.59,2.2,0.03,0.2,0.7,0.8,0.6,0.7,8,2,2,4,4,2,2,1,100,100,100,100,0,100,100,100,100,24.361111,86.305556,23.848485,52.833333,0,43.333333,7.611111,31.652778,7.236111,99.31,2.08,33.33,88.19,0,30.56,100,100,100
293,3,33,26,-22,57,38,12,70,73,82,95,105,1.79,2.48,2.53,2.43,0.2,0.6,0.5,0.3,9,9,8,9,2,2,5,1,40.62,31.65,90.91,0,0,48.13,19.33,7.28,77.54,79.117647,66.753501,89.379679,5.906417,0,88.270053,63.277311,36.10084,92.275401,5.6,4.2,4.55,0,0,0,3.36,1.12,1.34
294,3,35,26,-42,57,38,9,14,70,82,95,101,0.61,2.39,2.53,2.43,0.1,0.8,0.5,0.3,9,9,9,8,4,2,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
