myIndex,roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA,UDI,ASE,sDABin,UDIBin,ASEBin,sDA_Category,UDI_Category,ASE_Category
60,7,10.0,31.666666666666668,14.666666666666666,29.0,79,69,11,16,111,165,79,119,0.52,2.47,2.86,0.84,0.7,0.0,0.0,0.5,5,5,0,3,2,0,1,2,98.85,78.660099,8.76,"(80.77, 100.0]","(73.968, 86.117]","(0.858, 12.32]",4,4,2
61,7,10.0,31.666666666666668,14.666666666666666,29.0,79,69,11,16,111,165,79,119,0.52,2.47,2.86,0.84,0.0,0.0,0.0,0.5,5,5,0,3,2,0,1,2,46.2,72.171866,8.76,"(38.67, 80.77]","(53.629, 73.968]","(0.858, 12.32]",3,3,2
62,7,10.0,31.666666666666668,14.666666666666666,29.0,79,69,11,16,111,165,79,119,0.52,2.47,2.86,0.84,0.0,0.0,0.6,0.5,5,5,0,3,2,0,1,2,100.0,31.636563,85.28,"(80.77, 100.0]","(29.653, 53.629]","(38.71, 100.0]",4,2,4
63,8,9.0,22.0,15.666666666666666,-38.0,63,94,69,66,256,219,56,190,0.03,2.84,2.46,0.61,0.5,0.2,0.0,0.0,4,3,5,4,4,1,1,0,96.19,93.587243,3.01,"(80.77, 100.0]","(86.117, 98.107]","(0.858, 12.32]",4,5,2
64,8,9.0,22.0,15.666666666666666,-38.0,63,94,69,66,256,219,56,190,0.03,2.84,2.46,0.61,0.0,0.2,0.0,0.0,4,3,5,4,4,1,1,0,26.76,47.329179,2.49,"(12.3, 38.67]","(29.653, 53.629]","(0.858, 12.32]",2,2,2
65,8,9.0,22.0,15.666666666666666,-38.0,63,94,69,66,256,219,56,190,0.03,2.84,2.46,0.61,0.0,0.2,0.3,0.0,4,3,5,4,4,1,1,0,100.0,75.874633,32.77,"(80.77, 100.0]","(73.968, 86.117]","(12.32, 38.71]",4,4,3
66,8,9.0,22.0,15.666666666666666,-38.0,63,94,69,66,256,219,56,190,0.03,2.84,2.46,0.61,0.5,0.0,0.0,0.0,4,3,5,4,4,1,1,0,89.52,95.920821,0.0,"(80.77, 100.0]","(86.117, 98.107]","(-0.001, 0.858]",4,5,1
68,8,9.0,22.0,15.666666666666666,-38.0,63,94,69,66,256,219,56,190,0.03,2.84,2.46,0.61,0.0,0.0,0.3,0.0,4,3,5,4,4,1,1,0,87.76,80.615103,27.64,"(80.77, 100.0]","(73.968, 86.117]","(12.32, 38.71]",4,4,3
69,8,9.0,22.0,15.666666666666666,-38.0,63,94,69,66,256,219,56,190,0.03,2.84,2.46,0.61,0.5,0.0,0.0,0.2,4,3,5,4,4,1,1,0,98.17,89.406158,14.37,"(80.77, 100.0]","(86.117, 98.107]","(12.32, 38.71]",4,5,3
70,8,9.0,22.0,15.666666666666666,-38.0,63,94,69,66,256,219,56,190,0.03,2.84,2.46,0.61,0.0,0.0,0.0,0.2,4,3,5,4,4,1,1,0,29.99,51.46261,17.16,"(12.3, 38.67]","(29.653, 53.629]","(12.32, 38.71]",2,2,3
71,8,9.0,22.0,15.666666666666666,-38.0,63,94,69,66,256,219,56,190,0.03,2.84,2.46,0.61,0.0,0.0,0.3,0.2,4,3,5,4,4,1,1,0,100.0,69.896628,51.47,"(80.77, 100.0]","(53.629, 73.968]","(38.71, 100.0]",4,3,4
72,9,8.0,19.0,25.0,-29.0,49,34,2,77,16,294,79,326,1.24,2.2,0.36,0.18,0.4,0.2,0.0,0.0,9,0,1,2,3,1,0,5,31.84,67.358919,7.46,"(12.3, 38.67]","(53.629, 73.968]","(0.858, 12.32]",2,3,2
73,9,8.0,19.0,25.0,-29.0,49,34,2,77,16,294,79,326,1.24,2.2,0.36,0.18,0.0,0.2,0.0,0.0,9,0,1,2,3,1,0,5,26.7,52.591837,7.45,"(12.3, 38.67]","(29.653, 53.629]","(0.858, 12.32]",2,2,2
74,9,8.0,19.0,25.0,-29.0,49,34,2,77,16,294,79,326,1.24,2.2,0.36,0.18,0.0,0.2,0.7,0.0,9,0,1,2,3,1,0,5,100.0,57.73027,46.0,"(80.77, 100.0]","(53.629, 73.968]","(38.71, 100.0]",4,3,4
75,9,8.0,19.0,25.0,-29.0,49,34,2,77,16,294,79,326,1.24,2.2,0.36,0.18,0.4,0.0,0.0,0.0,9,0,1,2,3,1,0,5,0.0,22.800215,0.0,"(-0.001, 12.3]","(-0.001, 29.653]","(-0.001, 0.858]",1,1,1
77,9,8.0,19.0,25.0,-29.0,49,34,2,77,16,294,79,326,1.24,2.2,0.36,0.18,0.0,0.0,0.7,0.0,9,0,1,2,3,1,0,5,91.35,63.042703,39.68,"(80.77, 100.0]","(53.629, 73.968]","(38.71, 100.0]",4,3,4
78,9,8.0,19.0,25.0,-29.0,49,34,2,77,16,294,79,326,1.24,2.2,0.36,0.18,0.4,0.0,0.0,0.2,9,0,1,2,3,1,0,5,15.44,73.057363,0.11,"(12.3, 38.67]","(53.629, 73.968]","(-0.001, 0.858]",2,3,1
79,9,8.0,19.0,25.0,-29.0,49,34,2,77,16,294,79,326,1.24,2.2,0.36,0.18,0.0,0.0,0.0,0.2,9,0,1,2,3,1,0,5,0.0,39.338947,0.0,"(-0.001, 12.3]","(29.653, 53.629]","(-0.001, 0.858]",1,2,1
80,9,8.0,19.0,25.0,-29.0,49,34,2,77,16,294,79,326,1.24,2.2,0.36,0.18,0.0,0.0,0.7,0.2,9,0,1,2,3,1,0,5,99.62,61.08,47.51,"(80.77, 100.0]","(53.629, 73.968]","(38.71, 100.0]",4,3,4
81,10,7.0,20.0,29.0,-24.0,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.4,0.2,0.0,0.0,9,2,4,0,2,0,2,4,34.48,66.418103,2.93,"(12.3, 38.67]","(53.629, 73.968]","(0.858, 12.32]",2,3,2
82,10,7.0,20.0,29.0,-24.0,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.0,0.2,0.0,0.0,9,2,4,0,2,0,2,4,10.73,28.531034,3.88,"(-0.001, 12.3]","(-0.001, 29.653]","(0.858, 12.32]",1,1,2
83,10,7.0,20.0,29.0,-24.0,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.0,0.2,0.7,0.0,9,2,4,0,2,0,2,4,65.17,79.096121,23.97,"(38.67, 80.77]","(73.968, 86.117]","(12.32, 38.71]",3,4,3
84,10,7.0,20.0,29.0,-24.0,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.4,0.0,0.0,0.0,9,2,4,0,2,0,2,4,10.78,33.398707,0.0,"(-0.001, 12.3]","(29.653, 53.629]","(-0.001, 0.858]",1,2,1
86,10,7.0,20.0,29.0,-24.0,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.0,0.0,0.7,0.0,9,2,4,0,2,0,2,4,43.02,59.502155,14.91,"(38.67, 80.77]","(53.629, 73.968]","(12.32, 38.71]",3,3,3
87,10,7.0,20.0,29.0,-24.0,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.4,0.0,0.0,0.2,9,2,4,0,2,0,2,4,38.53,77.525,0.09,"(12.3, 38.67]","(73.968, 86.117]","(-0.001, 0.858]",2,4,1
88,10,7.0,20.0,29.0,-24.0,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.0,0.0,0.0,0.2,9,2,4,0,2,0,2,4,8.06,37.79569,0.0,"(-0.001, 12.3]","(29.653, 53.629]","(-0.001, 0.858]",1,2,1
89,10,7.0,20.0,29.0,-24.0,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.0,0.0,0.7,0.2,9,2,4,0,2,0,2,4,78.92,78.068966,32.84,"(38.67, 80.77]","(73.968, 86.117]","(12.32, 38.71]",3,4,3
90,11,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.3,0.0,0.0,2,1,3,2,3,4,5,3,13.9,72.18984,0.0,"(12.3, 38.67]","(53.629, 73.968]","(-0.001, 0.858]",2,3,1
91,11,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.0,0.3,0.0,0.0,2,1,3,2,3,4,5,3,0.0,42.855615,0.0,"(-0.001, 12.3]","(29.653, 53.629]","(-0.001, 0.858]",1,2,1
92,11,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.0,0.3,0.6,0.0,2,1,3,2,3,4,5,3,42.51,82.22861,10.43,"(38.67, 80.77]","(73.968, 86.117]","(0.858, 12.32]",3,4,2
93,11,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.0,0.0,0.0,2,1,3,2,3,4,5,3,3.07,21.697861,0.0,"(-0.001, 12.3]","(-0.001, 29.653]","(-0.001, 0.858]",1,1,1
95,11,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.0,0.0,0.6,0.0,2,1,3,2,3,4,5,3,26.34,38.867647,6.95,"(12.3, 38.67]","(29.653, 53.629]","(0.858, 12.32]",2,2,2
96,11,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.0,0.0,0.3,2,1,3,2,3,4,5,3,19.92,66.175134,0.0,"(12.3, 38.67]","(53.629, 73.968]","(-0.001, 0.858]",2,3,1
97,11,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.0,0.0,0.0,0.3,2,1,3,2,3,4,5,3,0.0,23.431818,0.0,"(-0.001, 12.3]","(-0.001, 29.653]","(-0.001, 0.858]",1,1,1
98,11,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.0,0.0,0.6,0.3,2,1,3,2,3,4,5,3,44.79,76.03877,15.78,"(38.67, 80.77]","(73.968, 86.117]","(12.32, 38.71]",3,4,3
99,12,8.0,22.666666666666668,14.666666666666666,-14.0,5,88,80,31,194,428,370,481,2.17,1.42,1.53,2.62,0.3,0.3,0.0,0.0,1,5,9,3,4,2,2,4,85.44,96.163218,0.31,"(80.77, 100.0]","(86.117, 98.107]","(-0.001, 0.858]",4,5,1
