roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA1,sDA2,sDA3,sDA4,sDA5,sDA6,sDA7,sDA8,sDA9,UDI1,UDI2,UDI3,UDI4,UDI5,UDI6,UDI7,UDI8,UDI9,ASE1,ASE2,ASE3,ASE4,ASE5,ASE6,ASE7,ASE8,ASE9
357,9,83,71,-20.3,19,20,4,12,307,179,135,341,0.33,1.85,1.67,1.62,0.7,0.3,0.6,0.3,9,0,4,3,3,0,5,3,12.22,4.91,66.96,0,0,29.25,24.6,4.14,91.91,50.013926,12.400774,88.838685,21.082012,0,61.105609,70.55087,23.844487,83.274275,0,0.93,19.34,0,0,5.07,0.19,0,41.01
358,9,61,88,-16.1,26,21,4,12,309,179,380,341,0.54,2.23,1.67,1.6,0.4,0.2,0.6,0.3,2,0,4,3,3,4,1,3,4.44,0,64.91,0,0,35.17,25.34,0.95,84.09,45.973276,17.963793,78.047414,12.673276,0,55.118966,72.460345,33.932328,76.889655,0,0,25.26,0,0,14.96,0.04,0,35.22
359,9,63,70,-20.3,19,38,12,12,394,160,131,341,0.53,2.23,1.66,1.6,0.7,0.2,0.7,0.3,2,0,4,3,3,4,5,3,45.45,0,86.54,23.19,0,39.34,77.02,25.05,97.88,88.526915,24.961824,85.052277,61.317288,0,71.403209,93.418219,58.424431,76.013458,0,0,27.54,0,0,11.9,1.09,3.83,51.09
360,9,83,89,-20.3,19,20,12,12,307,179,123,341,0.34,1.86,1.67,1.62,0.7,0.3,0.7,0.3,9,0,4,2,3,0,4,3,26.84,4.04,59.6,10.26,0,25.7,41.02,1.79,79.14,63.935901,12.160247,84.76641,41.175347,0,52.487827,81.655162,21.873035,82.575347,0,0.03,18.21,0,0,5.36,0.09,0,32.23
361,9,11,70,-16.1,16,38,12,27,340,181,377,341,0.44,2.37,1.72,1.82,0.7,0.2,0.7,0.3,9,0,4,3,3,4,5,3,63.98,45.96,83.85,21.12,0,40.06,86.34,70.5,97.52,90.074534,80.037267,75.409938,36.937888,0,43.534161,90,88.847826,65.108696,0,7.76,40.68,0,0,25.47,4.66,22.67,64.91
362,9,11,70,-16.1,16,37,12,27,340,181,377,341,0.44,2.23,1.72,1.6,0.7,0.2,0.7,0.3,3,0,4,3,3,4,1,3,68.01,48.45,85.71,19.25,0,39.44,87.58,70.81,96.58,92.248447,81.248447,71.636646,39.381988,0,37.819876,92.118012,88.468944,61.583851,0,7.76,43.17,0,0,26.09,0.62,27.02,72.98
363,9,83,89,-16.1,19,38,5,27,307,179,123,341,0.54,1.85,1.67,1.62,0.7,0.3,0.7,0.3,9,0,4,2,3,5,5,4,22.25,0,77.69,0.68,0,27.95,37.6,13.71,85.86,74.641911,36.553159,87.797843,31.76641,0,55.994453,81.853929,39.902619,82.14114,0,0,17.35,0,0,4.16,0,1.08,39.94
364,9,26,90,-20.3,31,20,10,39,335,160,386,395,0.44,2.23,1.64,1.61,0.8,0.3,0.7,0.3,3,0,4,2,2,4,1,3,86.18,72.16,93.73,17.55,0,47.66,78.46,19.41,94.62,93.442157,87.54902,69.065686,39.452941,0,51.668993,91.80658,78.329412,69.391825,0.88,7.06,52.06,0,0,23.33,0,0,45.96
365,9,15,88,-16.1,19,20,4,27,338,181,376,341,0.45,2.23,1.66,1.6,0.7,0.3,0.6,0.3,2,0,3,3,3,0,1,3,77.24,54.31,100,0,0,33.97,67.41,30.17,89.14,93.703448,87.367241,67.274138,15.739655,0,34.35,89.331034,77.97931,71.096552,0,18.45,55.86,0,0,20.17,0.34,0,49.83
366,9,61,71,-16.1,18,20,4,12,324,179,380,341,0.54,2.23,1.67,1.62,0.4,0.3,0.6,0.3,2,0,4,3,3,4,1,3,10.48,0,76.49,0,0,29.26,28.4,4.84,90.43,62.02766,26.925532,81.693085,15.585638,0,53.457979,75.613298,33.696277,77.868085,0,0,26.38,0,0,11.76,0.05,0.27,39.57
